id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,80379,0,147,511,162,296.0,160.359375,1.0431597232818604,0.9933957457542419,0,0,512,311
1,67989,0,0,511,146,56.0,92.328125,1.0318830013275146,0.9869073033332825,0,0,512,311
2,148512,0,0,511,309,296.0,267.265625,1.0131996870040894,0.961168646812439,0,0,512,311
3,3851,0,0,95,81,24.0,53.453125,0.9960094690322876,0.9809964299201965,0,0,512,311
4,4677,0,135,511,19,376.0,150.640625,0.9898467063903809,0.9784537553787231,0,0,512,311
5,486,38,208,24,24,56.0,208.953125,0.9853225350379944,0.981632649898529,0,0,512,311
6,364,296,262,25,21,312.0,267.265625,0.9739212393760681,0.98097825050354,0,0,512,311
7,217,346,257,18,15,360.0,267.265625,0.9693751335144043,0.9726027250289917,0,0,512,311
8,984,101,177,31,45,120.0,218.671875,0.965293288230896,0.9543197751045227,0,0,512,311
9,177,69,258,13,16,72.0,257.546875,0.964990496635437,0.9888268113136292,0,0,512,311
10,212,263,215,15,16,264.0,228.390625,0.9638708829879761,0.985981285572052,0,0,512,311
11,213,457,220,17,14,472.0,228.390625,0.9614892601966858,0.9723502397537231,0,0,512,311
12,208,499,283,12,27,504.0,306.140625,0.9594046473503113,0.9856459498405457,0,0,512,311
13,233,207,251,16,21,216.0,267.265625,0.957400918006897,0.991416335105896,0,0,512,311
14,271,128,30,20,20,136.0,34.015625,0.952409029006958,0.9816849827766418,0,0,512,311
15,201,333,269,18,16,344.0,276.984375,0.9515960812568665,0.9852216839790344,0,0,512,311
16,275,476,232,15,29,488.0,247.828125,0.9512316584587097,0.9890909194946289,0,0,512,311
17,281,0,290,23,20,8.0,306.140625,0.9511659741401672,0.9752650260925293,0,0,512,311
18,85,65,232,10,11,72.0,238.109375,0.9511050581932068,0.9651162624359131,0,0,512,311
19,298,175,82,19,24,184.0,92.328125,0.9469981789588928,0.9636963605880737,0,0,512,311
20,179,469,0,25,9,488.0,4.859375,0.9469749927520752,0.994413435459137,0,0,512,311
21,457,110,0,45,11,120.0,4.859375,0.9467171430587769,0.9783549904823303,0,0,512,311
22,125,262,101,10,13,264.0,111.765625,0.9461955428123474,0.9920634627342224,0,0,512,311
23,381,226,292,29,18,232.0,306.140625,0.9443773627281189,0.9617347121238708,0,0,512,311
24,247,341,100,24,13,360.0,111.765625,0.9400518536567688,0.9642857313156128,0,0,512,311
25,161,384,182,16,14,392.0,189.515625,0.938355565071106,0.9815950989723206,0,0,512,311
26,456,222,207,20,35,232.0,218.671875,0.9379701614379883,0.9612902998924255,0,0,512,311
27,296,34,181,26,16,40.0,189.515625,0.934629499912262,0.9568106532096863,0,0,512,311
28,194,226,97,14,18,232.0,102.046875,0.9338168501853943,0.9502487778663635,0,0,512,311
29,169,385,130,14,14,392.0,140.921875,0.9276597499847412,0.9707602262496948,0,0,512,311
30,117,501,132,10,15,504.0,140.921875,0.9232555031776428,0.9745762944221497,0,0,512,311
31,119,415,241,9,14,424.0,247.828125,0.9187801480293274,0.9586777091026306,0,0,512,311
32,136,351,3,10,18,360.0,4.859375,0.9083808064460754,0.956204354763031,0,0,512,311
